method,geomean_final_ratio,geomean_min_ratio,final_wins,mean_spikes,mean_a_final,mean_trigger_step,mean_trigger_rate
Standard Muon,2.3169977880354553,2.6360023471978398,0,0.0,1.5,nan,0.0
Jordan Muon,1.0988194803451041,1.1701612986540157,4,0.4875,3.4449999999999994,nan,0.0
FastNS Muon,1.1517540070531522,1.0140877762580696,1,16.168750000000003,3.867000000000001,nan,0.0
Adaptive Dense Muon,1.0242526886035515,1.0149574132679227,3,12.087499999999999,3.815203125000001,422.66776315789474,0.26875
Adam,2.8616083888844464,3.247505366695118,1,0.0,nan,nan,0.0
AdamW,2.8640650488078845,3.2502552401721214,0,0.0,nan,nan,0.0
