problem,method,runs,final_mean,final_std,min_mean,min_std,spikes_mean,spikes_std,a_final_mean,a_final_std,trigger_step_mean,trigger_step_std,trigger_rate,current_spike_count_mean,current_spike_count_std,previous_spike_count_mean,previous_spike_count_std,spike_count_delta_mean,spike_count_delta_std
low_frequency,Standard Muon,20,0.060343153029680255,0.008077450428467628,0.048936746828258035,0.005668846823076916,0.0,0.0,1.5,0.0,nan,nan,0.0,nan,nan,nan,nan,nan,nan
low_frequency,Jordan Muon,20,0.007645932957530022,0.002090980386919425,0.004172318812925369,0.0009458378187302811,3.8,6.257795138864806,3.4449999999999994,4.440892098500626e-16,nan,nan,0.0,nan,nan,nan,nan,nan,nan
low_frequency,FastNS Muon,20,0.009588731452822685,0.0038840963345317856,0.002633341238833964,0.0007245504156204409,89.9,21.144502831705456,3.867000000000001,8.881784197001252e-16,nan,nan,0.0,nan,nan,nan,nan,nan,nan
low_frequency,Adaptive Dense Muon,20,0.005551144282799214,0.0022786630264422084,0.0026417932589538396,0.0007401964752097759,64.8,19.158809983921234,3.62175,0.0065717197140474125,362.25,24.622906002338556,1.0,2.0,0.0,0.05,0.21794494717703364,1.95,0.21794494717703372
low_frequency,Adam,20,0.0610911687836051,0.00905818474896999,0.05149621125310659,0.008820014123699508,0.0,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan
low_frequency,AdamW,20,0.06122038196772337,0.009086737985940186,0.051622549816966054,0.00884777205667798,0.0,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan
medium_fourier,Standard Muon,20,0.21200858801603317,0.039410108374031395,0.18597501069307326,0.027237706371406246,0.0,0.0,1.5,0.0,nan,nan,0.0,nan,nan,nan,nan,nan,nan
medium_fourier,Jordan Muon,20,0.05510275606065988,0.0068911133456814305,0.04731275010854006,0.006389846885612775,0.0,0.0,3.4449999999999994,4.440892098500626e-16,nan,nan,0.0,nan,nan,nan,nan,nan,nan
medium_fourier,FastNS Muon,20,0.046249871514737605,0.00847265590716373,0.03809336284175515,0.007181536426699799,0.0,0.0,3.867000000000001,8.881784197001252e-16,nan,nan,0.0,nan,nan,nan,nan,nan,nan
medium_fourier,Adaptive Dense Muon,20,0.046249871514737605,0.00847265590716373,0.03809336284175515,0.007181536426699799,0.0,0.0,3.870000000000001,8.881784197001252e-16,nan,nan,0.0,0.0,0.0,0.05,0.21794494717703364,-0.05,0.21794494717703364
medium_fourier,Adam,20,0.2994127795100212,0.026066199737541488,0.25540170893073083,0.007223268042011817,0.0,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan
medium_fourier,AdamW,20,0.29947772324085237,0.02587893094254612,0.25560434684157374,0.007182726189653547,0.0,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan
high_frequency,Standard Muon,20,0.24614324867725373,0.015730799968646673,0.20302435830235482,0.005381529421727146,0.0,0.0,1.5,0.0,nan,nan,0.0,nan,nan,nan,nan,nan,nan
high_frequency,Jordan Muon,20,0.21615418717265128,0.020234053671833608,0.18506341725587844,0.010677249476249073,0.0,0.0,3.4449999999999994,4.440892098500626e-16,nan,nan,0.0,nan,nan,nan,nan,nan,nan
high_frequency,FastNS Muon,20,0.2202137790620327,0.020819103262208358,0.18708445653319358,0.011771599030326903,0.0,0.0,3.867000000000001,8.881784197001252e-16,nan,nan,0.0,nan,nan,nan,nan,nan,nan
high_frequency,Adaptive Dense Muon,20,0.2202137790620327,0.020819103262208358,0.18708445653319358,0.011771599030326903,0.0,0.0,3.870000000000001,8.881784197001252e-16,nan,nan,0.0,0.05,0.21794494717703364,0.0,0.0,0.05,0.21794494717703364
high_frequency,Adam,20,0.2476674847304821,0.016207210450849434,0.20571651980280875,0.005135099709933072,0.0,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan
