problem,method,slug,epoch,layer_idx,shape,n_records,sv_min_mean,sv_min_std,sv_p10_mean,sv_p10_std,sv_median_mean,sv_median_std,sv_p90_mean,sv_p90_std,sv_max_mean,sv_max_std,top_energy_frac_mean,top_energy_frac_std,effective_rank_mean,effective_rank_std,participation_rank_mean,participation_rank_std,tiny_frac_mean,tiny_frac_std
chirp_quadratic,Adaptive Dense Muon,adaptive_dense_muon,0,0,32x1,3,0.9999701380729675,8.310663173999269e-06,0.9999701380729675,8.310663173999269e-06,0.9999701380729675,8.310663173999269e-06,0.9999701380729675,8.310663173999269e-06,0.9999701380729675,8.310663173999269e-06,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
chirp_quadratic,Adaptive Dense Muon,adaptive_dense_muon,0,1,32x32,3,1.4050705159548057e-10,1.1984520455964148e-10,2.326978620903475e-09,6.95163645206809e-10,2.9269386618106335e-08,6.396391049571791e-09,0.00031629253246971304,0.0004315838678353404,0.998755137125651,0.00044429869240612065,0.997516935528227,0.0008837100022044933,1.017443818360334,0.005431036804849513,1.004980089643148,0.0017768750854270233,0.90625,0.02551551815399144
chirp_quadratic,Adaptive Dense Muon,adaptive_dense_muon,0,2,32x32,3,3.373889686149785e-10,2.459528553019779e-10,1.7826942181701592e-09,9.490281331705036e-10,2.4203865874502146e-08,7.1637590319600335e-09,8.82397219342581e-05,0.00011595105998938926,0.9999067982037863,3.2108609000438584e-05,0.999817004954955,6.204475665999102e-05,1.001754057645263,0.0005356061582327144,1.0003660651246615,0.00012413943669456666,0.9270833333333334,0.01473139127471974
chirp_quadratic,Adaptive Dense Muon,adaptive_dense_muon,0,3,32x32,3,6.642051029552103e-11,3.788256911447768e-11,1.185325646894479e-09,5.488634341038392e-10,2.419401597582767e-08,5.0595619189047915e-09,3.351336182030696e-05,4.4288684715659646e-05,0.9999868075052897,4.791247938538726e-06,0.9999765112463823,1.0455092104346488e-05,1.0002722060654559,0.00011019108587704593,1.000046978832304,2.0911300891834316e-05,0.9375,0.0
chirp_quadratic,Adaptive Dense Muon,adaptive_dense_muon,0,4,1x32,3,0.9999986290931702,1.1811148284039377e-06,0.9999986290931702,1.1811148284039377e-06,0.9999986290931702,1.1811148284039377e-06,0.9999986290931702,1.1811148284039377e-06,0.9999986290931702,1.1811148284039377e-06,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
chirp_quadratic,Adaptive Dense Muon,adaptive_dense_muon,25,0,32x1,3,0.9998377561569214,0.00016314635851922386,0.9998377561569214,0.00016314635851922386,0.9998377561569214,0.00016314635851922386,0.9998377561569214,0.00016314635851922386,0.9998377561569214,0.00016314635851922386,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
chirp_quadratic,Adaptive Dense Muon,adaptive_dense_muon,25,1,32x32,3,3.0264491468479093e-09,1.880433911528988e-09,1.5287262478125287e-08,6.8761738667971975e-09,4.3354327772249235e-07,2.6259467254274857e-07,0.0010776215625810453,0.000780413504743747,0.9990477561950684,0.0004017890436499355,0.9981054697685551,0.0007965568680943972,1.0138226944821602,0.005086283541367944,1.0037976013321084,0.001600042704261175,0.90625,0.02551551815399144
chirp_quadratic,Adaptive Dense Muon,adaptive_dense_muon,25,2,32x32,3,1.8945432074997845e-09,1.2937070302581048e-09,2.0180773644777144e-08,6.184992591590705e-09,8.313948285376682e-07,2.6030194376725867e-07,0.0015044707688502987,0.00047999531628645757,0.9995807806650797,0.00027838908292019424,0.9991692948460266,0.000553282649794242,1.0068977820802907,0.004504410801716709,1.001663736526788,0.0011082912932538903,0.8854166666666666,0.01473139127471974
chirp_quadratic,Adaptive Dense Muon,adaptive_dense_muon,25,3,32x32,3,2.071298318047828e-09,1.5170153810406644e-09,1.3654484950128184e-08,4.011685660881258e-09,5.175238963299004e-07,3.215113488439881e-07,0.0010370100440923137,0.0006486413772465238,0.9998763004938761,9.207215909778645e-05,0.9997589840354935,0.00017961038618923017,1.0022964730695982,0.0016569554579433671,1.0004822442658126,0.0003594216931961163,0.8958333333333334,0.01473139127471974
chirp_quadratic,Adaptive Dense Muon,adaptive_dense_muon,25,4,1x32,3,0.9999971191088358,2.7410937022835885e-06,0.9999971191088358,2.7410937022835885e-06,0.9999971191088358,2.7410937022835885e-06,0.9999971191088358,2.7410937022835885e-06,0.9999971191088358,2.7410937022835885e-06,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
chirp_quadratic,Adaptive Dense Muon,adaptive_dense_muon,100,0,32x1,3,0.9998537500699362,0.00010277917646031525,0.9998537500699362,0.00010277917646031525,0.9998537500699362,0.00010277917646031525,0.9998537500699362,0.00010277917646031525,0.9998537500699362,0.00010277917646031525,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
chirp_quadratic,Adaptive Dense Muon,adaptive_dense_muon,100,1,32x32,3,5.3092932124817103e-08,2.363973706227613e-08,2.517078118084252e-07,1.0630516329548028e-07,1.431345337247573e-05,7.576958578676867e-06,0.0026921879053891967,0.0010835674335288518,0.9960794846216837,0.0032830419984929632,0.9922198987228499,0.00653395657689152,1.0448797433209756,0.032406074279949605,1.0157678579737317,0.013331158536233309,0.84375,0.02551551815399144
chirp_quadratic,Adaptive Dense Muon,adaptive_dense_muon,100,2,32x32,3,6.93825334963094e-08,1.6436883416849798e-08,2.3699140911048745e-06,1.986250268821791e-06,0.00012958160732523538,7.731677782375841e-05,0.014399489838009094,0.011144505896117646,0.9963601430257162,0.0017598767094821907,0.992783363610369,0.003497290890043104,1.048497722251516,0.02190532607613478,1.0145885104842016,0.007096176428611219,0.6979166666666666,0.02946278254943948
chirp_quadratic,Adaptive Dense Muon,adaptive_dense_muon,100,3,32x32,3,1.0642699595682832e-07,1.3587671280068154e-07,6.823783588553548e-07,4.730324898622611e-07,4.7866188045494105e-05,3.1865249132594194e-05,0.004789081984199587,0.0028159910915074205,0.9991532365481058,0.0007469703616223824,0.9983293569273503,0.001483090657894706,1.0128204561778744,0.010478896888925154,1.0033528386199457,0.0029804012452808275,0.7916666666666666,0.03897559777889522
chirp_quadratic,Adaptive Dense Muon,adaptive_dense_muon,100,4,1x32,3,0.9999896287918091,4.5362228370762935e-06,0.9999896287918091,4.5362228370762935e-06,0.9999896287918091,4.5362228370762935e-06,0.9999896287918091,4.5362228370762935e-06,0.9999896287918091,4.5362228370762935e-06,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
chirp_quadratic,Adaptive Dense Muon,adaptive_dense_muon,250,0,32x1,3,0.9999561111132304,4.584609428916751e-06,0.9999561111132304,4.584609428916751e-06,0.9999561111132304,4.584609428916751e-06,0.9999561111132304,4.584609428916751e-06,0.9999561111132304,4.584609428916751e-06,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
chirp_quadratic,Adaptive Dense Muon,adaptive_dense_muon,250,1,32x32,3,1.58511038369132e-08,5.961909298769354e-09,1.8768848614551343e-07,6.377727915866662e-08,8.382274169586404e-06,3.995177458678665e-06,0.006165404398537561,0.005976160600433266,0.9197737574577332,0.09823270148367907,0.8556520401292517,0.17404046630174033,1.4514890240472902,0.49417915847902166,1.3552812347774958,0.4399856756579762,0.875,0.02551551815399144
chirp_quadratic,Adaptive Dense Muon,adaptive_dense_muon,250,2,32x32,3,1.1752529024041299e-07,1.5169831949889603e-07,2.213006663017344e-06,6.101402690431471e-07,0.0001146688427979825,3.372717290590202e-05,0.011726749905695527,0.003885646849100394,0.9879830678304037,0.00834174284599035,0.9762114233294862,0.016511522426586857,1.1234025156856828,0.08304980197792215,1.0494761320062505,0.03462558645486049,0.7395833333333334,0.01473139127471974
chirp_quadratic,Adaptive Dense Muon,adaptive_dense_muon,250,3,32x32,3,2.868710306339987e-08,1.0620727578846484e-08,1.1901840110795093e-06,7.051336043833302e-07,5.366663162931218e-05,3.701910345077308e-05,0.0074333040858619,0.003939486551756039,0.9916372497876486,0.010785894197918684,0.9834837671343891,0.02129048448570011,1.0785838587491974,0.09533384376564764,1.034507631653802,0.04464972809789721,0.78125,0.06750771560841522
chirp_quadratic,Adaptive Dense Muon,adaptive_dense_muon,250,4,1x32,3,0.9999965230623881,1.3152097990858845e-06,0.9999965230623881,1.3152097990858845e-06,0.9999965230623881,1.3152097990858845e-06,0.9999965230623881,1.3152097990858845e-06,0.9999965230623881,1.3152097990858845e-06,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
