problem,method,slug,init,seed,epoch,layer_idx,shape,a_target,coeff_a,coeff_b,coeff_c,n_sv,sv_min,sv_p10,sv_median,sv_p90,sv_max,top_energy_frac,effective_rank,participation_rank,tiny_frac
low_frequency,Jordan Muon,jordan_muon,0,987,250,2,32x32,3.445,3.445,-4.775,2.032,32,1.6744795772183352e-08,1.9809977800377964e-07,1.0349894637329271e-05,0.01637507798150184,0.9513976573944092,0.9051583400259123,1.3884935330529307,1.2080826068985786,0.78125
low_frequency,Jordan Muon,jordan_muon,0,987,250,3,32x32,3.445,3.445,-4.775,2.032,32,1.005817029664513e-08,7.796490137934598e-08,1.020093714032555e-05,0.017570036742836255,0.9939091205596924,0.9878557436366552,1.0738087529797269,1.0246141830467133,0.75
low_frequency,Jordan Muon,jordan_muon,0,987,250,4,1x32,3.445,3.445,-4.775,2.032,1,0.9999998211860657,0.9999998211860657,0.9999998211860657,0.9999998211860657,0.9999998211860657,1.0,1.0,1.0,0.0
low_frequency,Jordan Muon,jordan_muon,0,987,499,0,32x1,3.445,3.445,-4.775,2.032,1,0.9999991655349731,0.9999991655349731,0.9999991655349731,0.9999991655349731,0.9999991655349731,1.0,1.0,1.0,0.0
low_frequency,Jordan Muon,jordan_muon,0,987,499,1,32x32,3.445,3.445,-4.775,2.032,32,2.716182834205938e-10,1.0347233647678422e-08,2.2274087996265735e-07,0.006039401408634162,0.8599622249603271,0.7395357907728616,1.7862625057942794,1.628000106066467,0.875
low_frequency,Jordan Muon,jordan_muon,0,987,499,2,32x32,3.445,3.445,-4.775,2.032,32,1.04970840908436e-08,1.331648491031956e-07,7.031815357549931e-06,0.041391493007540775,0.842607855796814,0.7099893490582848,1.900971977451754,1.712670383531844,0.78125
low_frequency,Jordan Muon,jordan_muon,0,987,499,3,32x32,3.445,3.445,-4.775,2.032,32,1.0393942373454479e-09,8.205330601640527e-08,1.9849442651320715e-05,0.04501731321215635,0.9566012620925903,0.9150877559225825,1.3951475641719213,1.1864027595332118,0.75
low_frequency,Jordan Muon,jordan_muon,0,987,499,4,1x32,3.445,3.445,-4.775,2.032,1,0.9999992847442627,0.9999992847442627,0.9999992847442627,0.9999992847442627,0.9999992847442627,1.0,1.0,1.0,0.0
low_frequency,Jordan Muon,jordan_muon,1,988,0,0,32x1,3.445,3.445,-4.775,2.032,1,0.9999955296516418,0.9999955296516418,0.9999955296516418,0.9999955296516418,0.9999955296516418,1.0,1.0,1.0,0.0
low_frequency,Jordan Muon,jordan_muon,1,988,0,1,32x32,3.445,3.445,-4.775,2.032,32,1.4610762599787108e-10,1.391972370701211e-09,2.099307216951729e-08,0.0006413503882185994,0.998281717300415,0.9965678931587221,1.0232316887113662,1.0068878337717266,0.90625
low_frequency,Jordan Muon,jordan_muon,1,988,0,2,32x32,3.445,3.445,-4.775,2.032,32,1.021833104242198e-10,1.5324884139467088e-09,2.0928529131936102e-08,0.00035545506558492065,0.9994575381278992,0.9989171118465315,1.0085183445916808,1.0021681230202013,0.9375
low_frequency,Jordan Muon,jordan_muon,1,988,0,3,32x32,3.445,3.445,-4.775,2.032,32,1.0857058307944811e-10,1.355855105966697e-09,1.6442805783611902e-08,0.00012396798397276172,0.99990314245224,0.9998079450494519,1.0018383947815837,1.0003841837203973,0.9375
low_frequency,Jordan Muon,jordan_muon,1,988,0,4,1x32,3.445,3.445,-4.775,2.032,1,0.9999992251396179,0.9999992251396179,0.9999992251396179,0.9999992251396179,0.9999992251396179,1.0,1.0,1.0,0.0
low_frequency,Jordan Muon,jordan_muon,1,988,25,0,32x1,3.445,3.445,-4.775,2.032,1,0.9999945163726807,0.9999945163726807,0.9999945163726807,0.9999945163726807,0.9999945163726807,1.0,1.0,1.0,0.0
low_frequency,Jordan Muon,jordan_muon,1,988,25,1,32x32,3.445,3.445,-4.775,2.032,32,1.4422420202553354e-10,7.429321957630464e-09,2.1239023340058338e-07,0.0015509565069805852,0.995483934879303,0.99098932094209,1.0537227993945675,1.0181871288788846,0.875
low_frequency,Jordan Muon,jordan_muon,1,988,25,2,32x32,3.445,3.445,-4.775,2.032,32,5.158413141082008e-10,1.2253759962277399e-08,5.949923860271156e-07,0.004660241201054314,0.9971771836280823,0.9943631848951575,1.036484174718276,1.0113396425887353,0.84375
low_frequency,Jordan Muon,jordan_muon,1,988,25,3,32x32,3.445,3.445,-4.775,2.032,32,1.1961344137390029e-09,8.135713702728254e-09,5.154242188609715e-07,0.0036438253184314885,0.9983832240104675,0.9967708222490791,1.0224321396559264,1.0064797553463032,0.875
low_frequency,Jordan Muon,jordan_muon,1,988,25,4,1x32,3.445,3.445,-4.775,2.032,1,0.9999992847442627,0.9999992847442627,0.9999992847442627,0.9999992847442627,0.9999992847442627,1.0,1.0,1.0,0.0
low_frequency,Jordan Muon,jordan_muon,1,988,100,0,32x1,3.445,3.445,-4.775,2.032,1,0.9999988079071045,0.9999988079071045,0.9999988079071045,0.9999988079071045,0.9999988079071045,1.0,1.0,1.0,0.0
low_frequency,Jordan Muon,jordan_muon,1,988,100,1,32x32,3.445,3.445,-4.775,2.032,32,1.6782139011795039e-09,2.49087404924353e-08,3.3139532433779095e-06,0.02375642119441187,0.9256446361541748,0.8568186567451334,1.5366938218073392,1.326954361334638,0.84375
low_frequency,Jordan Muon,jordan_muon,1,988,100,2,32x32,3.445,3.445,-4.775,2.032,32,3.100694145885541e-09,2.2077128676301074e-07,3.045019639102975e-05,0.017005626484751724,0.7029562592506409,0.4941480153121115,2.3136753475884806,2.166396965062871,0.75
