problem,method,slug,init,seed,epoch,layer_idx,shape,a_target,coeff_a,coeff_b,coeff_c,sv_index,singular_value
low_frequency,Jordan Muon,jordan_muon,0,987,0,2,32x32,3.445,3.445,-4.775,2.032,10,4.750489424054649e-08
low_frequency,Jordan Muon,jordan_muon,0,987,0,2,32x32,3.445,3.445,-4.775,2.032,11,4.123210217699125e-08
low_frequency,Jordan Muon,jordan_muon,0,987,0,2,32x32,3.445,3.445,-4.775,2.032,12,3.832280626170359e-08
low_frequency,Jordan Muon,jordan_muon,0,987,0,2,32x32,3.445,3.445,-4.775,2.032,13,2.886078931396696e-08
low_frequency,Jordan Muon,jordan_muon,0,987,0,2,32x32,3.445,3.445,-4.775,2.032,14,2.736355497745535e-08
low_frequency,Jordan Muon,jordan_muon,0,987,0,2,32x32,3.445,3.445,-4.775,2.032,15,2.3756484779369202e-08
low_frequency,Jordan Muon,jordan_muon,0,987,0,2,32x32,3.445,3.445,-4.775,2.032,16,1.877578448272743e-08
low_frequency,Jordan Muon,jordan_muon,0,987,0,2,32x32,3.445,3.445,-4.775,2.032,17,1.4633522837925739e-08
low_frequency,Jordan Muon,jordan_muon,0,987,0,2,32x32,3.445,3.445,-4.775,2.032,18,1.1909318864411489e-08
low_frequency,Jordan Muon,jordan_muon,0,987,0,2,32x32,3.445,3.445,-4.775,2.032,19,1.073456612488144e-08
low_frequency,Jordan Muon,jordan_muon,0,987,0,2,32x32,3.445,3.445,-4.775,2.032,20,1.0083738288813038e-08
low_frequency,Jordan Muon,jordan_muon,0,987,0,2,32x32,3.445,3.445,-4.775,2.032,21,6.514067951712832e-09
low_frequency,Jordan Muon,jordan_muon,0,987,0,2,32x32,3.445,3.445,-4.775,2.032,22,6.1123799355300434e-09
low_frequency,Jordan Muon,jordan_muon,0,987,0,2,32x32,3.445,3.445,-4.775,2.032,23,5.578919104465285e-09
low_frequency,Jordan Muon,jordan_muon,0,987,0,2,32x32,3.445,3.445,-4.775,2.032,24,4.8642907479745645e-09
low_frequency,Jordan Muon,jordan_muon,0,987,0,2,32x32,3.445,3.445,-4.775,2.032,25,2.584976899200342e-09
low_frequency,Jordan Muon,jordan_muon,0,987,0,2,32x32,3.445,3.445,-4.775,2.032,26,1.7439297783639063e-09
low_frequency,Jordan Muon,jordan_muon,0,987,0,2,32x32,3.445,3.445,-4.775,2.032,27,1.458816067945179e-09
